wer	acts	words	chars
EIN DRITTER RÄUBER	23	455	2659
FRANZ VON MOOR	172	10303	57676
DER ALTE MOOR	100	2415	12960
KARL VON MOOR	211	9731	53839
SPIEGELBERG	64	4279	24021
ROLLER	31	1111	6176
GRIMM	29	333	1771
SCHWARZ	35	641	3485
SCHUFTERLE	12	366	2076
RAZMANN	42	992	5436
SCHWEIZER	71	1797	9900
AMALIA	111	3050	16727
HERMANN	52	1041	5530
DANIEL	67	1953	10349
EINER VON DER BANDE	23	456	2678
EIN ZWEITER VON DER BANDE	23	437	2547
EIN DRITTER VON DER BANDE	23	433	2540
PATER	13	579	3334
KOSINSKY	26	1060	5920
DIE RÄUBER	24	472	2768
BEDIENTER	5	29	163
MOSER	17	926	5259
VOLK	1	12	66
EIN RÄUBER	23	455	2649
EIN ALTER RÄUBER	23	515	2970
