wer	acts	words	chars
CHOR	7	110	545
BAUERKNABE	2	42	223
BAUER	4	303	1629
TROMPETER	31	335	1715
ULAN	1	8	39
WACHTMEISTER	54	1774	9309
KROAT	3	30	148
KONSTABLER	3	48	259
ERSTER JÄGER	59	1485	7946
MARKETENDERIN	21	359	1973
SOLDATENJUNGE	1	6	36
SOLDATENSCHULMEISTER	1	7	42
AUFWÄRTERIN	2	10	50
ZWEITER JÄGER	27	509	2722
REKRUT	3	69	369
BÜRGER	8	79	394
DRAGONER	7	74	427
KAPUZINER	6	897	4796
KROATEN	1	16	73
STIMMEN	1	9	55
ANDRE STIMMEN	1	2	12
SCHARFSCHÜTZEN	2	8	48
ERSTER ARKEBUSIER	16	207	1085
ERSTER KÜRASSIER	24	1038	5548
ERSTER SCHARFSCHÜTZ	9	106	546
ERSTER DRAGONER	11	148	831
ZWEITER KÜRASSIER	6	108	588
ZWEITER ARKEBUSIER	1	3	16
ZWEITER SCHARFSCHÜTZ	3	14	86
KÜRASSIERE	1	4	25
