wer	acts	words	chars
JOHANNES PARRICIDA	17	290	1490
FISCHERKNABE	2	79	359
HIRTE	3	76	408
HIRTEN	1	6	29
ALPENJÄGER	3	84	422
RUODI	33	449	2324
KUONI	25	316	1631
WERNI	16	173	922
SEPPI	4	26	132
BAUMGARTEN	27	423	2193
TELL	131	3479	18345
ERSTER REITER	3	36	182
ZWEITER REITER	2	13	71
PFEIFFER	2	83	440
STAUFFACHER	119	3627	19524
GERTRUD	10	656	3442
FRONVOGT	6	98	562
ERSTER GESELL	11	131	731
ALTER MANN	1	4	20
ZWEITER GESELL	6	36	201
GESELLEN	4	16	97
MEISTER STEINMETZ	19	230	1233
AUSRUFER	2	82	422
BERTA	24	854	4513
MELCHTHAL	72	2525	13527
WALTER FÜRST	86	1698	9239
RUDENZ	43	1956	10414
ATTINGHAUSEN	25	1378	7422
WINKELRIED	11	196	993
SEWA	8	58	313
MEIER	18	226	1193
AM BÜHEL	8	59	339
VON DER FLÜE	7	59	319
KONRAD HUNN	7	242	1262
AUF DER MAUER	11	146	811
RÖSSELMANN	31	433	2328
SIGRIST	14	91	507
IM HOFE	6	46	261
REDING	14	273	1497
JOST VON WEILER	6	33	195
WALTER	25	373	1861
HEDWIG	48	1012	5132
WILHELM	6	45	243
FRIESSHARDT	21	358	1859
LEUTHOLD	7	168	853
MECHTHILD	1	10	48
ELSBET	1	17	93
NOCH DREI LANDLEUTE	1	9	49
WEIBER	3	14	79
RUDOLF DER HARRAS	17	358	1889
GESSLER	37	1087	5602
WALTER TELL	8	170	888
VIELE STIMMEN	4	22	105
LANDLEUTE	6	41	223
KUNZ	4	101	539
FISCHER	30	771	4122
KNABE	14	182	923
STÜSSI	20	373	1929
WANDERER	2	26	141
ARMGARD	18	306	1633
VOLK	2	7	37
BARMHERZIGE BRÜDER	1	39	198
STIER VON URI	5	21	125
KINDER	1	2	19
MEHRERE STIMMEN	3	16	93
MÖNCH	8	118	601
