wer	acts	words	chars
DIE SUEVISCHEN FELDHERRN	1	17	86
WOLF	16	467	2625
THUISKOMAR	19	749	4141
DAGOBERT	10	193	1058
SELGAR	10	132	717
EIN FÜRST	1	2	17
EIN CHERUSKER	3	29	147
THUSNELDA	135	2263	11875
DAS GEFOLGE	3	39	223
HERMANN	264	6785	37005
VENTIDIUS	42	1380	7433
SCÄPIO	4	77	412
DIE FÜRSTEN	1	12	73
EGINHARDT	29	410	2143
GERTRUD	26	459	2384
LUITGAR	18	240	1310
ERSTER ÄLTESTER	8	98	561
ZWEITER ÄLTESTER	3	25	134
DER ERSTE HAUPTMANN	2	51	278
DER ZWEITE HAUPTMANN	2	85	472
DER DRITTE HAUPTMANN	3	114	620
DER CHERUSKER	4	68	347
VARUS	65	1860	10077
SEPTIMIUS	18	276	1485
FUST	16	206	1100
GUELTAR	8	86	431
ARISTAN	8	323	1769
DER HEROLD	1	18	118
CRASSUS	1	11	76
MARBOD	38	850	4572
ATTARIN	9	295	1556
RINOLD	10	76	381
ADELHART	2	4	21
DER HAUPTMANN 4.1	2	41	213
KOMAR	5	214	1204
DER GREIS	5	48	255
EIN JUNGES MÄDCHEN	1	3	19
EIN ANDERES JUNGES MÄDCHEN	1	6	28
DIE MUTTER	1	24	138
EIN MANN	2	37	218
EIN ANDERER MANN	2	5	25
EIN DRITTER MANN	1	3	11
EIN WEIB	1	7	39
DAS VOLK	6	49	291
EINIGE STIMMEN	1	6	30
DER ZWEITE CHERUSKER	16	149	812
EINE STIMME	2	8	44
MEHRERE STIMMEN	1	5	30
TEUTHOLD	17	145	783
DER ERSTE VETTER	3	14	76
DER ERSTE CHERUSKER	12	162	893
DER ZWEITE VETTER	3	14	77
EINE ANDERE STIMME	1	1	8
EINE DRITTE STIMME	1	4	24
DIE BEIDEN VETTERN	0	0	0
DER TRABANT	1	4	25
ASTOLF	7	91	509
DIE FELDHERRN (RÖMER)	1	3	13
EIN HAUPTMANN (RÖMER)	6	42	215
ERSTER FELDHERR (RÖMER)	8	147	791
ZWEITER FELDHERR (RÖMER)	8	86	490
DRITTER FELDHERR (RÖMER)	1	59	337
EIN RÖMER	7	170	972
DER DRITTE CHERUSKER	2	30	166
DIE ALRAUNE	4	56	338
EGBERT	11	289	1545
WINFRIED	11	177	906
DIE FELDHERRN (CHERUSKER)	1	6	30
HAUPTLEUTE (CHERUSKER)	1	6	30
DAS CHERUSKERHEER	2	22	125
CHOR DER BARDEN	2	105	556
CHILDERICH	17	173	865
EIN FELDHERR	1	11	56
