wer	acts	words	chars
AMINE	20	410	2252
CHOR	25	333	1757
FEE APRIKOSA	14	157	862
ERSTER ZAUBERER	19	156	865
ZWEITER ZAUBERER	21	250	1343
FEE AMARILLIS	12	105	538
FEUERGEIST	10	260	1490
PAMPHILIUS	32	540	3068
ALLE WEIBER	1	6	42
LONGIMANUS	84	3043	17092
DIE DRUDEN	1	5	34
ERSTE DRUDE	5	78	448
ZEPHISES	11	221	1288
WINTER	1	29	141
HERBST	1	55	290
SOMMER	1	29	151
FRÜHLING	1	19	85
FLORIAN	145	2990	16046
MARIANDL	65	996	5164
EDUARD	128	2603	14848
HOFFNUNG	8	517	2929
KOLIBRI	33	550	3036
EIN NACHBAR	6	147	778
ALLE NACHBARN	3	21	113
KOLIPHONIUS	6	200	1186
MÄDCHEN	1	3	19
DER KORPORAL	1	6	34
EIN KELLNER	1	3	18
CHOR VON EINWOHNERN	1	45	244
HEROLD	3	109	599
ALADIN	22	345	2062
OSILLIS	5	29	177
AMAZILLI	1	3	24
VERITATIUS	13	355	1988
MODESTINA	6	42	243
