wer	acts	words	chars
TISIPHONE	2	25	128
PHALARIUS	38	1899	10352
HADES	23	1246	6887
ANTROGÄUS	2	64	323
CHOR	4	90	435
LUCINA	46	1880	10349
KREON	19	550	2915
EWALD	157	2386	12799
SIMPLIZIUS	234	5185	27931
RIEGELSAM	35	584	3217
ZWEI GERICHTSDIENER	1	16	80
GENIUS DES TODES	6	71	378
GEJAMMER	1	4	16
THESTIUS	12	288	1591
EPAMINONDAS	19	250	1345
HIPPOMEDON	7	67	368
EINE FRAU	2	8	48
SILLIUS	2	12	63
ARGOS	1	10	58
DIENER	2	28	164
HARMODIUS	8	179	983
ARETE	33	399	2136
HERAKLIUS	8	139	731
ADRASTO	4	52	261
ANTROKLES	9	485	2637
CLITONIUS	6	93	490
LULU	13	159	869
FANFU	2	8	45
DIE GENIEN	1	4	25
EIN JÄGER	2	30	148
OCTAVIAN	8	334	1739
ATRITIA	32	716	3654
OLIMAR	26	254	1303
ASTRACHAN	18	192	1045
ABUKAR	9	66	354
NIMMELOT	1	7	44
ALOE	32	861	4571
GESCHREI	2	15	73
DARDONIUS	53	721	3983
EIN HÖFLING	8	50	266
DIE KRIEGER	8	30	178
DIE HÖFLINGE	2	10	57
DIE MÄNNER	6	26	144
DIE FRAUEN	7	39	177
DIE DREI GEISTER	7	68	378
ALEKTO	5	45	236
MEGÄRA	3	30	159
