wer	acts	words	chars
VOLK (5. AKT)	2	19	105
VITRY	93	1303	7246
CHASSECOEUR	82	1461	8091
AUSRUFER EINER BILDERGALERIE	2	43	260
AUSRUFER EINER MENAGERIE	3	117	718
EIN POLIZEIBEAMTER	1	9	48
SAVOYARDENKNABE	7	135	702
AUSRUFER BEI EINEM GUCKKASTEN	12	270	1498
VOLK (1. AKT)	22	167	856
EIN GENSD'ARMES (1. AKT)	3	24	141
EIN ALTER OFFIZIER IN ZIVILTRACHT	14	292	1674
MARQUIS VON HAUTERIVE	10	194	1107
HERR VON VILLENEUVE	10	324	1863
DIE STUHLVERMIETERIN	1	20	103
ZEITUNGSAUSRUFER	3	37	220
EINE ALTE PUTZHÄNDLERIN	4	253	1485
ADVOKAT DUCHESNE	20	548	3101
HERZOG VON ORLEANS	3	37	184
HERZOG VON BERRY	23	525	2936
EINER AUS DEM GEFOLGE DES HERZOGS	1	10	47
MADAME DE SERRÉ	13	227	1225
DIE AMME	1	23	126
EIN ALTER MARQUIS	11	132	707
SCHWEIZERGARDIST	4	29	132
EIN BÜRGER	12	161	812
EIN ANDERER BÜRGER	11	185	1083
CHORUS DER ALTADLIGEN EMIGRANTEN, DAMEN UND HERREN	2	87	430
EIN KLEINER OFENHEIZER	1	1	4
EIN HAUPTMANN DER SCHWEIZERGARDE	2	40	225
KÖNIG LUDWIG	67	1233	6976
HERZOGIN VON ANGOULEME	56	1519	8360
OBERZEREMONIENMEISTER	9	58	351
HERZOG VON ANGOULEME	16	227	1308
GRAF BLACAS D'AULPS	17	469	2741
DER OBERZEREMONIENMEISTER	1	7	41
NAPOLEON	184	5732	32184
BERTRAND	56	793	4324
DER POLNISCHE LEGIONSREITER	3	33	186
DER OFFIZIER	20	197	1086
CAMBRONNE	31	574	3198
ALLE ANWESENDEN	1	4	19
DER ALTE GÄRTNER	16	270	1490
DIE NICHTE	14	318	1661
PIERRE	5	86	466
DIE DAMEN DER HALLE	7	60	305
EINE ANDERE DAME DER HALLE	3	127	718
LOUISE	5	31	161
ZEITUNGSVERBREITER	4	47	264
VOLK (2. AKT)	1	8	42
