wer	acts	words	chars
CHOR DER MÖNCHE	3	25	154
KERN	29	947	5093
WEINHOLD	15	403	2207
ZUNDER	7	186	1044
ANNCHEN	3	24	118
WIRTH	10	127	689
WAGNER	28	778	4225
NASE	11	138	718
MURRNER	6	93	547
DIE BÜRGER	7	39	218
STUDENTEN	8	192	1018
FAUST	172	5559	30194
SCHATTEN	17	222	1209
MEPHISTOPHELES	85	2831	15154
UNSICHTBARER CHOR	1	20	112
ZWITSCH	2	22	110
COSMO	29	765	4161
ROBERT	35	1514	8072
BIANCA	29	494	2545
DIE ZOFEN	8	73	362
DIENER	9	78	396
DAMEN	7	62	315
HERREN	7	60	312
CRABE	21	447	2355
DUJOUR	19	374	2035
LE DOIGT	17	231	1152
APPEAU	8	93	483
EINIGE	3	14	77
ANSELMO	16	530	3003
KAISER	10	174	1000
AUS DER FERNE	1	3	17
ROSA	13	459	2383
JUANITO	6	22	104
EINE STIMME AUS DER HÖHE	3	9	51
EINE STIMME AUS DER TIEFE	3	26	126
