wer	acts	words	chars
NOTARIUS	1	3	13
DIE MÄDCHEN	5	56	309
DIE BAUERNBURSCHE	3	43	239
CHRISTOPH	11	109	608
HANNS	7	75	395
HANNERL	8	75	436
SALOME	88	2041	10469
SEPPEL	3	22	118
FLORA	133	1966	10530
PLUTZERKERN	60	864	4720
TITUS	316	7670	42861
MARQUIS	46	929	5102
CONSTANTIA	108	1437	7792
ERSTER KNECHT	7	44	190
DIE KNECHTE	8	32	166
CHOR	5	109	578
FRAU VON CYPRESSENBURG	98	1186	6624
EMMA	12	174	979
HERR VON PLATT	13	63	342
CHOR DER GESELLSCHAFT	1	19	90
GEORG	15	246	1347
SPUND	55	1079	5926
KONRAD	5	99	503
