wer	acts	words	chars
DIE HOFMEISTERIN	2	28	168
DER DICHTER	29	1500	8171
DIE MUSE	27	1371	7066
DIE AFTERMUSE	1	17	76
BARBARA	22	606	3215
JACOB	94	3279	17170
BENJAMIN	93	4095	22302
KÖNIGIN	9	282	1499
PRINZESSIN	20	885	4878
KÖNIG	22	1126	6430
PRINZ	39	1573	8453
BLOCK	38	1286	6803
DOKTOR PFEFFER	85	2421	13503
DER GRAF	26	437	2517
KILIAN	57	1458	7967
JÖRG	10	202	1080
SCHLÜTER	41	1468	7940
DER JÄGER	8	134	706
ERSTE DAME	13	331	1915
ZWEITE DAME	6	245	1383
DRITTE DAME	6	69	395
ERSTER KAVALIER	2	83	475
ZWEITER KAVALIER	1	71	391
