wer	acts	words	chars
KELLNER	4	27	154
CHOR	5	136	712
NACHTWÄCHTER	52	567	3153
PEMPERL	23	226	1272
SCHABENFELLNER	12	83	441
KLAUS	140	2444	13573
DIE BÜRGER	1	7	45
CÄCILIE	18	126	658
WALPURGA	6	48	239
SIGMUND	66	551	3038
WILLIBALD	42	607	3407
PFIFFSPITZ	15	134	734
ULTRA	138	3075	18379
DIE KRÄHWINKLER	13	65	333
REAKZERL	15	281	1700
FRAU VON FRANKENFREI	31	358	1905
BÜRGERMEISTER	90	1613	9299
EMERENZIA	37	339	1699
SPERLING	28	553	3254
RUMMELPUFF	11	176	1036
FRAU PEMPERL	16	127	704
FRAU SCHABENFELLNER	9	61	344
FRAU KLÖPPL	5	38	192
BABETTE	2	8	42
ADELE	4	27	128
FRAU VON SCHNABELBEISS	7	96	554
KATHI	2	15	78
EIN BEDIENTER	1	5	29
