wer	acts	words	chars
ZWEI ANDERE MANNEN	1	3	14
DIE ERSTE NORN	6	197	994
DIE ZWEITE NORN	9	244	1236
DIE DRITTE NORN	6	180	940
BRÜNNHILDE	54	2093	10773
SIEGFRIED	94	2096	10473
GUNTHER	61	707	3641
HAGEN	93	1573	8080
GUTRUNE	27	373	1912
WALTRAUTE	11	470	2320
ALBERICH	7	372	1844
EIN MANNE	4	23	109
NEUN WEITERE MANNEN	1	6	27
ACHT MANNEN	1	5	24
VIER WEITERE	1	4	17
ZWEI MANNEN	2	14	74
WEITERE ZEHN MANNEN	1	7	41
DIE MANNEN	20	196	1042
FRAUEN	3	10	60
WOGLINDE	24	306	1621
WELLGUNDE	28	323	1700
FLOSSHILDE	26	317	1669
VIER MANNEN	2	7	38
