wer	acts	words	chars
EINIGE LANDSKNECHTE	1	12	49
DIETRICH	70	1816	10083
HELLDRUNGEN	32	550	3038
ERICH	15	236	1315
GRÄFIN	25	374	2093
LIBORIUS	19	407	2328
RÜDIGER	6	338	1976
PROBST	14	603	3475
GERLIND	101	3589	19224
EIN KNAPPE	1	10	53
DIE ALTE STEIMANN	7	57	289
FRAU HÜFER	12	233	1260
BLINTE	46	1015	5532
BAUERN	44	355	1745
ENGEL	25	490	2673
THOMÄ	14	227	1261
SANDER	12	144	795
REINHARD	4	60	356
STORCH	5	50	258
PFEIFER	69	2249	12427
HANS	48	1289	7078
MÜNZER	211	9843	53822
STIMMEN	7	107	581
LÄRM	2	16	89
RODER	13	372	2138
WEIBER	7	56	261
LUTHER	20	947	5250
CHOR	1	12	57
JACOBE	28	1228	6466
FRAUEN	1	0	0
EIN KNECHT	3	61	310
WACHE	2	28	155
LANDGRAF	8	431	2462
