wer	acts	words	chars
GENDARM	4	9	40
FRÄULEIN SCHAITZACH	17	86	449
HERR VON BECK	101	771	4460
DIE DREI CHORISTINNEN	11	20	101
LORENZ	99	1289	6720
PFARRER	123	1516	8700
POSTHALTER	363	4213	22545
SEEHANSELE	81	1004	5250
BURGL	11	79	421
SEPPL	24	209	1049
KEDERBAUER	82	734	4016
MOHRENWIRT	78	837	4590
MUTZENBAUER	28	160	887
ROSL	24	146	831
WEHRMÜLLERIN	19	231	1198
FRAU WANNINGER	113	1085	5768
FRAU SPECHT	87	812	4482
POSTHALTERIN	190	1781	9328
WALLY	45	189	1012
RETTINGER	216	2124	11645
GÖTZENSPERGER	125	1133	6176
DIE ZUHÖRER	6	23	152
AMTSRICHTER	81	564	3281
HULDA	67	535	2927
FLORA	54	297	1627
HIES	12	72	424
KNACKBERGER	36	258	1392
BERNHUBER	40	387	2143
MINNA	33	158	869
FOITENLEITNER	107	750	4083
NUSSER	121	850	4827
