wer	acts	words	chars
DIE BÜRGER	5	22	133
GRASSET	44	1032	5700
WIRT	146	2332	12666
LEBRET	20	120	631
PROSPERE	2	7	35
KOMMISSÄR	24	397	2228
GRAIN	35	597	3184
SCAEVOLA	31	384	2095
HIRT	1	15	86
JULES	7	75	386
HENRI	40	1232	6571
LEOCADIE	18	171	920
FRANÇOIS	70	929	5101
ALBIN	54	476	2593
MICHETTE	17	149	750
FLIPOTTE	8	81	421
HERZOG	39	794	4089
GUILLAUME	9	191	1037
MARQUIS	22	222	1235
ROLLIN	29	378	2099
SEVERINE	41	457	2518
GEORGETTE	10	109	571
BALTHASAR	9	153	832
ETIENNE	3	45	258
MAURICE	10	102	532
DIE SCHAUSPIELER	4	35	190
LANSAC	1	5	20
EINIGE	1	2	11
ANDERE	1	2	11
