wer	acts	words	chars
VATER JAKOB	17	507	2538
TINE	50	828	4193
BÄUERIN	82	1711	8682
BAUER	167	3933	20160
VIEHHÄNDLER	25	522	2610
BREITE	151	3182	16013
ERNST	24	391	2005
JOSEPH SCHINDLER	149	2774	14395
BLUMIG	17	360	1942
BECKERN	5	114	521
WIRTIN	30	449	2193
KRETSCHMER	11	115	593
DORFBURSCHEN UND DORFMÄDCHEN	1	0	0
HUHNDORF	9	159	860
DIE BEIDEN ARBEITER	2	13	71
WIRT	2	11	66
SCHINDLERN	32	725	3885
FRANZEL	43	1038	5628
BAUER HILDEBRANDT	31	561	3040
DIE BAUERN	21	110	625
DIE ALTE MATTERN	26	758	3911
JUNGE	1	10	47
EINIGE MÄDCHEN	1	5	28
EIN JUNGER BURSCHE	1	11	54
FRAU GLUMM	2	13	70
FRAU KRETSCHMER	1	5	22
EINIGE ANDERE	1	3	26
EINIGE BURSCHEN	1	4	26
FRAU HILDEBRANDT	1	2	9
