wer	acts	words	chars
DER CHOR	1	3	18
DIE AMME	72	2424	12544
DER BOTE	15	266	1340
DER KAISER	9	800	3919
DIE KAISERIN	38	1256	6316
DES FALKEN STIMME	3	45	262
DER EINÄUGIGE	2	39	217
DER EINARMIGE	2	15	72
DER BUCKLIGE	2	25	123
DIE FRAU	81	2057	10168
BARAK	63	957	4820
DIENERINNEN	2	13	62
FÜNF KINDERSTIMMEN	3	57	279
DIE STIMMEN DER WÄCHTER IN DEN STRASSEN	2	65	360
STIMMEN	2	25	138
DIE BRÜDER	7	242	1221
DIE BETTELKINDER	1	9	36
DIE FREMDEN KINDER	1	12	51
DER JÜNGLING	3	63	285
STIMME	2	18	84
DIENENDE GEISTER	1	2	11
DIE STIMMEN DER FÄRBERSLEUTE	1	5	31
ERSTER DIENENDER GEIST	1	2	14
ZWEITER DIENENDER GEIST	1	1	4
DRITTER DIENENDER GEIST	1	4	22
DIE MENSCHENSTIMMEN	1	10	60
STIMME VON OBEN	2	53	283
UNIRDISCHE STIMMEN	1	9	57
DIE UNGEBORENEN	16	312	1729
DIE FÄRBERIN	1	13	74
