wer	acts	words	chars
Diener im Elisabetinum	2	0	0
HOCHROITZPOINTNER	73	737	4275
SCHWESTER	21	125	683
OSKAR	70	779	4453
BERNHARDI	431	8963	51659
KURT	27	350	2021
EBENWALD	153	3564	21475
TUGENDVETTER	42	818	4601
ADLER	52	975	5855
CYPRIAN	122	2904	16999
PFARRER	50	1843	10858
DIENER Bernhardis	19	35	194
FEUERMANN	38	834	4720
FILITZ	70	1499	9111
LÖWENSTEIN	101	1364	8111
FLINT	156	5174	30438
SCHREIMANN	61	806	4906
PFLUGFELDER	83	2075	12406
WENGER	16	157	935
GOLDENTHAL	51	1234	7491
KULKA	17	458	2810
HOFRAT	87	1672	9956
AMTSDIENER	12	42	241
