wer	acts	words	chars
DIE ANDERE GRUPPE DES VOLKES	3	23	123
DER MANN	233	4213	23069
EINE FRAU	79	1556	8396
EIN ALTER MANN	5	71	362
EIN HERR	1	7	35
EIN JUNGE	7	70	362
SOLDATEN	2	25	131
DER OFFIZIER	21	301	1591
EIN SOLDAT	3	32	180
DER GOUVERNEUR	137	3082	16670
KLOTZ	101	2434	13573
ERSTER WÄCHTER	61	1156	6236
ZWEITER WÄCHTER	46	602	3294
ANNA	98	2353	12838
KIND	11	89	445
NAUKE	113	3206	17421
KAPITÄN	2	12	74
DAS VOLK (DIE MENGE)	51	268	1411
ALLE BRÜDER	1	4	18
MATROSEN	1	7	33
DER ERSTE GEFANGENE	25	409	2252
DER ZWEITE GEFANGENE	20	325	1803
OFFIZIER	30	365	2049
DIE SCHIFFSGEFANGENEN	25	140	839
DER KRANKE	19	147	796
ERSTE REVOLUTIONÄRIN	30	416	2235
ZWEITE REVOLUTIONÄRIN	27	367	2021
DRITTE REVOLUTIONÄRIN	24	352	1898
JUNGER MENSCH	57	893	4793
DER FÜHRER DER BÜRGER	37	977	5182
EIN GREIS AUS DEM VOLK	10	123	646
EIN JUNGE AUS DEM VOLK	1	6	30
DER KRÜPPEL	8	77	413
DER BUCKLIGE	11	102	553
DER SCHIFFSGEFANGENE	8	422	2242
DIE ANDEREN BÜRGER	5	10	50
ERSTER ALTER GEFANGENER	6	46	225
ZWEITER ALTER GEFANGENER	1	3	8
DIE EINE GRUPPE DES VOLKES	4	24	130
