wer	acts	words	chars
APRAXIN	1	3	26
KURAKIN	153	2650	13270
BIRON	109	1698	8621
WOLINSKI	219	3724	19322
ANNA	313	7379	36766
ANATOL	150	2613	13349
KNRAKIN	2	9	48
EIN RUSSISCHER OFFIZIER	1	0	0
EICHLER	44	394	2023
STALLMEISTER	11	139	721
PETER JEROPKIN	40	214	1062
CHRUSCHTSCHOW	10	35	167
PUSCHKIN	22	114	564
TRUBETZKOJ	20	230	1225
LÖWENWOLDE	6	29	147
ZWEI ZEREMONIENMEISTER	1	2	10
OSTERMANN	56	821	4166
EIN LAKAI	1	2	10
LA COSTA	12	274	1381
DIE NARREN	5	70	353
MARIA	23	323	1553
HERREN UND DAMEN DES HOFES	25	238	1281
PEDRILLO	1	5	25
BALAKYREW	1	3	17
