wer	acts	words	chars
EIN ANDERER STALLMEISTER	4	61	406
RADIANA	64	2275	13638
EIN STALLMEISTER	13	457	2960
LUISA	49	1852	11475
WENDELBORN	89	3970	24645
VATER BUNTSCHUH	9	424	2632
MUTTER BUNTSCHUH	70	1931	11565
DIENER FRANZ	23	422	2617
DER SEKRETÄR	5	92	571
PHILIPP WENDELBORN	1	21	138
CLOWN ODEBRECHT	60	1395	9065
CLOWN AMBROIS	18	270	1805
DER HERR	3	96	578
DIE DAME	1	12	86
STIMME EINES STALLMEISTERS	1	89	565
EIN ZWEITER CLOWN	8	150	1008
DER ARZT	1	20	112
EIN ZIRKUSDIENER	1	13	85
TOBIAS BUNTSCHUH	94	2529	15849
