name;title;author;chars;words;speech_acts
GEORG;Ignorabimus;Holz, Arno;133443;20859;952
DUFROY;Ignorabimus;Holz, Arno;107534;16588;885
FAUST;Faust. Der Tragödie erster Teil;Goethe, Johann Wolfgang;97546;9037;225
MEPHISTOPHELES;Faust. Der Tragödie erster Teil;Goethe, Johann Wolfgang;92536;8408;257
GOTHLAND;Herzog Theodor von Gothland;Grabbe, Christian Dietrich;86529;16325;508
HOLLRIEDER;Sonnenfinsternis;Holz, Arno;85600;13544;663
ONKEL LUDWIG;Ignorabimus;Holz, Arno;79066;12322;864
LIBUSSA;Die Gründung Prags;Brentano, Clemens;70723;13139;308
FRANZ;Franz von Sickingen;Lassalle, Ferdinand;67829;12445;219
CARDENIO;Halle;Arnim, Ludwig Achim von;67167;12299;237
MARIANNE;Ignorabimus;Holz, Arno;66707;10383;766
ANATOL;Anatol;Schnitzler, Arthur;61885;11526;723
FIESCO;Die Verschwörung des Fiesco zu Genua;Schiller, Friedrich;61633;10412;326
MEPHISTOPHELES;Faust. Der Tragödie zweiter Teil;Goethe, Johann Wolfgang von;61231;10845;240
CROMWELL;Ein Faust der That;Bleibtreu, Karl;61034;10581;257
LA BELLA CENCI;Sonnenfinsternis;Holz, Arno;60956;10000;453
DOKTOR FAUST;Doktor Faust;Soden, Julius von;60696;10640;543
TASSO;Torquato Tasso;Goethe, Johann Wolfgang von;60095;11338;123
FRANZ VON MOOR;Die Räuber;Schiller, Friedrich;57676;10303;172
CARLOS;Don Carlos, Infant von Spanien;Schiller, Friedrich;55514;10444;333
FRIEDRICH HOFREITER;Das weite Land;Schnitzler, Arthur;54050;9635;417
KARL VON MOOR;Die Räuber;Schiller, Friedrich;53839;9731;211
PIETRO FOLCHI;König Nicolo oder So ist das Leben;Wedekind, Frank;53764;9473;210
MÃœNZER;Brot!;Alberti, Konrad;53762;9830;206
WALLENSTEIN;Wallensteins Tod;Schiller, Friedrich;53386;9845;261
GOLO;Genoveva;Hebbel, Friedrich;53091;10267;306
URL;Sonnenfinsternis;Holz, Arno;52820;8663;612
LUCIE;Lucie Woodvil;Pfeil, Johann Gottlob Benjamin;52689;9141;125
