Table: Zusammenfassung der Fallverarbeitung
,Fälle,,,,,
,Eingeschlossen,,Ausgeschlossen,,Gesamt,
,N,Prozent,N,Prozent,N,Prozent
Number_of_characters: Dekade,465,100%,0,0%,465,100%
Number_of_characters: ,465,100%,0,0%,465,100%
Max_Degree: Dekade,465,100%,0,0%,465,100%
Max_Degree: ,465,100%,0,0%,465,100%
Average_Degree: Dekade,465,100%,0,0%,465,100%
Average_Degree: ,465,100%,0,0%,465,100%
Density: Dekade,465,100%,0,0%,465,100%
Density: ,465,100%,0,0%,465,100%
Average_Path_Length: Dekade,465,100%,0,0%,465,100%
Average_Path_Length: ,465,100%,0,0%,465,100%

Table: Bericht
,Dekade,Mittelwert,N,Std. Abweichung
Number_of_characters,1730,"11,60","5,00","3,51"
,1740,"8,33","18,00","2,40"
,1750,"9,20","10,00","3,58"
,1760,"11,71","14,00","9,79"
,1770,"13,31","35,00","11,99"
,1780,"16,21","19,00","7,80"
,1790,"27,10","20,00","28,42"
,1800,"25,30","23,00","25,71"
,1810,"32,68","25,00","23,04"
,1820,"28,82","33,00","15,85"
,1830,"39,55","31,00","45,32"
,1840,"18,41","39,00","8,78"
,1850,"22,27","15,00","13,82"
,1860,"22,83","12,00","18,81"
,1870,"22,25","16,00","8,20"
,1880,"23,87","15,00","12,82"
,1890,"17,81","32,00","13,48"
,1900,"13,16","51,00","11,00"
,1910,"22,59","34,00","17,26"
,1920,"29,25","16,00","15,70"
,1930,"16,50","2,00","14,85"
Max_Degree,1730,"10,00","5,00","3,87"
,1740,"7,22","18,00","2,39"
,1750,"7,10","10,00","2,51"
,1760,"10,07","14,00","9,53"
,1770,"9,69","35,00","7,77"
,1780,"13,05","19,00","6,41"
,1790,"20,30","20,00","16,23"
,1800,"18,48","23,00","16,64"
,1810,"25,12","25,00","17,17"
,1820,"21,24","33,00","11,02"
,1830,"27,10","31,00","25,16"
,1840,"15,31","39,00","7,62"
,1850,"17,33","15,00","7,90"
,1860,"18,33","12,00","14,64"
,1870,"18,50","16,00","7,80"
,1880,"20,00","15,00","10,32"
,1890,"13,94","32,00","10,09"
,1900,"11,25","51,00","9,60"
,1910,"19,29","34,00","14,13"
,1920,"26,25","16,00","15,52"
,1930,"15,50","2,00","14,85"
Average_Degree,1730,"5,38","5,00","1,63"
,1740,"5,50","18,00","1,28"
,1750,"4,92","10,00","2,10"
,1760,"6,73","14,00","4,46"
,1770,"5,30","35,00","2,70"
,1780,"7,66","19,00","3,05"
,1790,"9,03","20,00","3,45"
,1800,"9,01","23,00","5,46"
,1810,"11,21","25,00","10,14"
,1820,"10,13","33,00","5,03"
,1830,"10,93","31,00","7,36"
,1840,"8,68","39,00","3,75"
,1850,"10,40","15,00","5,31"
,1860,"8,79","12,00","4,36"
,1870,"10,51","16,00","4,67"
,1880,"10,82","15,00","4,79"
,1890,"9,12","32,00","7,10"
,1900,"8,16","51,00","6,49"
,1910,"11,05","34,00","5,99"
,1920,"13,40","16,00","7,30"
,1930,"8,87","2,00","5,47"
Density,1730,",52","5,00",",13"
,1740,",78","18,00",",16"
,1750,",62","10,00",",15"
,1760,",74","14,00",",26"
,1770,",61","35,00",",28"
,1780,",58","19,00",",23"
,1790,",53","20,00",",27"
,1800,",56","23,00",",27"
,1810,",43","25,00",",23"
,1820,",46","33,00",",24"
,1830,",43","31,00",",22"
,1840,",56","39,00",",20"
,1850,",60","15,00",",25"
,1860,",53","12,00",",22"
,1870,",51","16,00",",17"
,1880,",53","15,00",",16"
,1890,",67","32,00",",28"
,1900,",79","51,00",",24"
,1910,",65","34,00",",27"
,1920,",54","16,00",",26"
,1930,",75","2,00",",36"
Average_Path_Length,1730,"1,51","5,00",",18"
,1740,"1,23","18,00",",16"
,1750,"1,38","10,00",",24"
,1760,"1,26","14,00",",28"
,1770,"1,47","35,00",",38"
,1780,"1,46","19,00",",30"
,1790,"1,55","20,00",",36"
,1800,"1,52","23,00",",37"
,1810,"1,66","25,00",",31"
,1820,"1,69","33,00",",44"
,1830,"1,72","31,00",",40"
,1840,"1,50","39,00",",28"
,1850,"1,47","15,00",",39"
,1860,"1,47","12,00",",30"
,1870,"1,55","16,00",",23"
,1880,"1,53","15,00",",24"
,1890,"1,33","32,00",",32"
,1900,"1,22","51,00",",34"
,1910,"1,37","34,00",",31"
,1920,"1,51","16,00",",33"
,1930,"1,25","2,00",",36"

Table: Bericht
,Mittelwert,N,Std. Abweichung
Number_of_characters,"21,30","465,00","20,17"
Max_Degree,"16,73","465,00","13,66"
Average_Degree,"9,01","465,00","5,86"
Density,",59","465,00",",26"
Average_Path_Length,"1,46","465,00",",36"
